NAME;YEAR_PUBLISHED;MIN_AGE;AVERAGE_RATING;USERS_RATING;MIN_PLAYERS;MAX_PLAYERS;DESIGNER;PUBLISHER;CATEGORY
Catan;1995;10;7.20;95000;3;4;Klaus Teuber;Kosmos;Strategy
Terraforming Mars;2016;12;8.40;85000;1;5;Jacob Fryxelius;FryxGames;Science Fiction
Uno;1971;6;6.10;320000;2;10;Merle Robbins;Mattel;Family
The Resistance;2009;13;7.05;25000;5;10;Don Eskridge;Indie Boards & Cards;Bluffing
Carcassonne;2000;8;7.40;125000;2;5;Klaus-Jürgen Wrede;Hans im Glück;Tile Placement
---;2001;10;7.50;5000;2;4;Unknown;Fantasy Flight Games;Thematic         
Ticket to Ride;2004;8;8.00;190000;2;5;Alan R. Moon;;Family                   
Pandemic;2008;10;8.10;175000;2;4;Matt Leacock;Z-Man Games;Cooperative
Twilight Imperium;1997;14;9.10;18000;3;6;Christian T. Petersen;Fantasy Flight Games;Strategy
Risk Legacy;2011;10;7.00;20000;2;6;;Hasbro;War                              
Small World;2009;8;7.30;55000;2;5;Philippe Keyaerts;Days of Wonder;Fantasy
Mystery Game;2015;12;11.00;100;2;6;John Doe;Indie House;Strategy     
Solo Adventure;2019;10;8.20;800;0;1;Jane Roe;Indie House;Solo        
Ancient World;1700;10;6.50;300;2;4;Old Author;Old Games;History  
Empty Fields;;;;;;; ; ;                                                      
Splendor;2014;10;7.50;89000;2;4;Marc André;Space Cowboys;Card Game
