name,yearpublished,minplayers,maxplayers,rating,designer,publisher
Skip-Bo Dice Game,2011,2,4,4.535,Top Secret,Mattel
Say What You Meme,2013,3,10,4.13,5th Door Designs,Playroom Entertainment
Last Battles  East Prussia,1994,2,4,5.445,David Bolt,3W (World Wide Wargames)
Sjoelen,1870,1,4,6.702,(Uncredited),(Public Domain)
Imperium Romanum  The Clash of Legions,1979,2,2,6.088,Albert A. Nofi,West End Games
Ghost Pirates,2012,2,2,5.916,Tim Rodriguez,(Web published)
Doctor Who  Time of the Daleks,2017,2,4,7.112,Andrew Haught,Gale Force Nine
Bei Nacht und Nebel,1990,2,4,3.977,Manfred Ludwig,Otto Maier Verlag
Patton's Vanguard,2017,1,2,7.211,Michael Rinella,Revolution Games (II)
The BoardGameGeek Game,2009,3,6,6.043,Richard Breese,R&D Games
Gamer Over! A Game Fair Murder Mystery,2017,7,8,7.862,Stephan Kessler,Frosted Games
88,1980,0,0,7.233,James M. Day,Yaquinto
Hull Breach  Corporate Wars,2014,2,8,6.645,Daniel Auxier,NSB Games
Triumph of Chaos,2005,2,2,7.573,David Dockter,Clash of Arms Games
Food Truck Champion,2017,2,5,6.773,Nicole Jekich,Daily Magic Games
Fruit Bandits,2005,3,5,5.637,Ian Vincent,JKLM Games
Forma,1973,2,4,5.548,H. J. Geesink,Ravensburger Spieleverlag GmbH
Prime Time,2015,2,4,5.981,Elad Goldsteen,Golden Egg Games
\u3069\u3046\u3076\u3064\u3057\u3087\u3046\u304e  Let's Catch the Lion!,2008,2,2,6.666,Madoka Kitao,Benesse
Samurai Sunset,1990,2,2,6.383,Joseph Miranda,Kokusai-Tsushin Co.
Numeracy Legends and The Rainbow Unicorn,2017,1,4,6.068,Chu-Lan Kao,Shepherd Kit
Micropul,2004,1,2,6.776,Jean-Fran\\u00e7ois Lassonde,(Self-Published)
Charades for Kids,1999,3,6,5.346,B. S. Randle,Cheatwell Games
America Triumphant  The Battle of the Bulge,2003,2,2,5.504,Brian L. Knipple,Avalanche Press Ltd.
Brute Force  The War in the West,2003,2,6,6.64,Rob Beyma,Clash of Arms Games
Dark Tower,1981,1,4,6.755,Roger Burten,Milton Bradley
Lord of the Rings  The Adventure Deck Game,2011,1,1,6.888,Michele Esmanech,(Web published)
\Oh My God! There's An Axe In My Head.\ The Game of International Diplomacy ,2014,2,6,5.968,Chris Adams,Game Company No. 3
Tempus,2006,3,5,6.493,Martin Wallace,Cafe Games
Domain  The Warlock's Challenge,1991,1,4,5.402,Edward Beck,Hobby Products GmbH
Continental Express,2014,2,4,6.049,Charles Chevallier,Asmodee
Rummikub Rummy Dice Game,1995,1,6,5.161,(Uncredited),(Unknown)
Elixir,1987,2,4,5.915,Nik Sewell,Silver Bear Marketing Ltd.
Summer Lightning  The Invasion of Poland 1939,2011,1,2,6.74,Brian Train,Lock n Load Publishing
